번호,관리번호,지정일자,해제일자,운영상태,시설명,시설구분,도로명전체주소,소재지전체주소,도로명우편번호,시설위치(지상/지하),시설면적(㎡),최대수용인원,최종수정시점,데이터갱신구분,데이터갱신일자,위도(도),위도(분),위도(초),경도(도),경도(분),경도(초),위도(EPSG4326),경도(EPSG4326),좌표정보(X),좌표정보(Y)
7442,3660000-S202300004,2023-09-08,,사용중,탄방동 e편한세상 2단지 아파트 지하주차장 1~2층,공공용시설,"대전광역시 서구 계룡로615번길 82 (탄방동, e편한세상 둔산)",대전광역시 서구 탄방동 1486 e편한세상 둔산,35258,지하,10272,12450,2024-02-14 14:00,U,2024-02-16 2:40,36,20,33.5,127,23,40.02,36.34263769,127.394451,990528.4352,1816143.221
7443,3660000-S202300005,2023-10-24,,사용중,관저2동 관저더샵1차아파트 지하주차장 지하1층,공공용시설,"대전광역시 서구 관저서로 19 (관저동, 관저더샵)",대전광역시 서구 관저동 1985 관저더샵,35375,지하,44563,54015,2023-10-26 13:18,I,2023-10-28 1:14,36,17,39.14,127,19,48.77,36.29420581,127.3302135,984754.5769,1810779.332
7444,3660000-S202300006,2023-10-24,,사용중,관저2동 다온숲아파트 지하주차장 지하1층,공공용시설,"대전광역시 서구 구봉산북로 165 (관저동, 다온숲3단지)",대전광역시 서구 관저동 1584 다온숲3단지,35383,지하,63903,77458,2023-10-26 13:19,I,2023-10-28 1:14,36,17,32.39,127,20,19.97,36.29233087,127.3388809,985532.4954,1810570.033
7445,3660000-S202300007,2023-10-24,,사용중,관저2동 예미지아파트 지하주차장 지하1층,공공용시설,"대전광역시 서구 관저중로 33 (관저동, 관저예미지 명가의 풍경)",대전광역시 서구 관저동 1579 관저예미지 명가의 풍경,35376,지하,51075,61909,2023-10-26 13:19,I,2023-10-28 1:14,36,17,41.75,127,20,4.44,36.29493016,127.3345675,985145.6711,1810859
7446,3660000-S202300008,2023-10-30,,사용중,복수동 센트럴자이@ 지하1-2층주차장,공공용시설,"대전광역시 서구 복수서로 15 (복수동, 복수센트럴자이)",대전광역시 서구 복수동 1004 복수센트럴자이,35403,지하,46256,56067,2024-01-15 17:33,I,2024-01-17 1:16,36,18,21.62,127,22,22.69,36.30600529,127.37297,988595.4784,1812082.247
7447,3670000-S199100005,1991-03-18,,사용중,한진오피스텔 지하주차장 1층,공공용시설,"대전광역시 유성구 계룡로105번길 15, 한진오피스텔 (봉명동)",대전광역시 유성구 봉명동 551-7 한진오피스텔,34187,지하,1260,1527,2024-01-01 22:09,U,2024-01-03 2:40,36,21,15.55,127,20,32.98,36.35432008,127.3425715,985875.0831,1817445.378
7448,3670000-S199100006,1991-05-11,,사용중,삼성푸른아파트(지하 1층 주차장),공공용시설,대전광역시 유성구 전민로 71 (전민동),대전광역시 유성구 전민동 460번지 1호,34053,지하,4800,5818,2023-10-11 18:40,U,2023-10-13 2:40,36,23,56.68,127,24,0.8,36.39911067,127.4002255,991053.0863,1822406.741
7449,3670000-S199200004,1992-03-24,,사용중,우성햇살아파트 지하1층주차장,공공용시설,"대전광역시 유성구 계룡로60번길 86 (구암동, 우성햇살아파트)",대전광역시 유성구 구암동 609번지 2호,34178,지하,761,922,2024-01-01 22:09,U,2024-01-03 2:40,36,21,3.93,127,20,10.19,36.35109129,127.336164,985299.572,1817088.191
7450,3670000-S199200005,1992-05-30,,사용중,엑스포1단지아파트 109동(지하 1층 주차장),공공용시설,대전광역시 유성구 엑스포로 448 (전민동),대전광역시 유성구 전민동 464번지 1호,34049,지하,708,858,2023-10-11 18:41,U,2023-10-13 2:40,36,23,46.41,127,24,18.85,36.39622374,127.4052371,991502.1683,1822086.064
7451,3670000-S199200006,1992-05-30,,사용중,엑스포2단지아파트 203동(지하 1층 주차장),공공용시설,대전광역시 유성구 엑스포로 448 (전민동),대전광역시 유성구 전민동 464번지 1호,34049,지하,548,664,2024-01-01 22:09,U,2024-01-03 2:40,36,23,46.41,127,24,18.85,36.39622374,127.4052371,991502.1683,1822086.064
